second,Volt,Ampere,Volt
-1.2400E-03,+93.6015E-03,+4.2651E-03,-311.8720E-03
-1.2300E-03,+160.8040E-03,+7.9078E-03,-512.8770E-03
-1.2200E-03,+108.6951E-03,+4.2651E-03,-442.1442E-03
-1.2100E-03,+129.4414E-03,+4.2651E-03,-311.8720E-03
-1.2000E-03,+160.8040E-03,+775.8E-06,-311.8720E-03
-1.1900E-03,+160.8040E-03,+7.7787E-03,-337.1970E-03
-1.1800E-03,+111.2783E-03,+4.2651E-03,-311.8720E-03
-1.1700E-03,+160.8040E-03,+245.0E-06,-440.9284E-03
-1.1600E-03,+80.4020E-03,+4.6667E-03,-311.8720E-03
-1.1500E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.1400E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.1300E-03,+106.5983E-03,+5.5749E-03,-311.8720E-03
-1.1200E-03,+155.3540E-03,+4.2651E-03,-499.2520E-03
-1.1100E-03,+145.5077E-03,+4.2651E-03,-311.8720E-03
-1.1000E-03,+116.4446E-03,+4.2651E-03,-311.8720E-03
-1.0900E-03,+160.8040E-03,+1.4256E-03,-311.8720E-03
-1.0800E-03,+160.8040E-03,+4.4084E-03,-311.8720E-03
-1.0700E-03,+142.9246E-03,+4.2651E-03,-311.8720E-03
-1.0600E-03,+160.8040E-03,+2.3338E-03,-416.3126E-03
-1.0500E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-1.0400E-03,+160.8040E-03,+4.2651E-03,-512.1678E-03
-1.0300E-03,+100.8646E-03,+4.2651E-03,-311.8720E-03
-1.0200E-03,+160.8040E-03,+4.1643E-03,-311.8720E-03
-1.0100E-03,+98.8488E-03,+4.2651E-03,-311.8720E-03
-1.0000E-03,+160.8040E-03,+4.2651E-03,-311.8720E-03
-990.0E-06,+160.8040E-03,+8.2852E-03,-369.4864E-03
-980.0E-06,+160.8040E-03,+2.0755E-03,-311.8720E-03
-970.0E-06,+160.8040E-03,+7.4920E-03,-311.8720E-03
-960.0E-06,+80.4020E-03,+4.2651E-03,-324.0786E-03
-950.0E-06,+106.0309E-03,+4.2651E-03,-311.8720E-03
-940.0E-06,+114.4288E-03,+6.5838E-03,-311.8720E-03
-930.0E-06,+147.5235E-03,+4.2651E-03,-311.8720E-03
-920.0E-06,+153.3382E-03,+7.9119E-03,-311.8720E-03
-910.0E-06,+132.5919E-03,+4.2651E-03,-311.8720E-03
-900.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-890.0E-06,+160.8040E-03,+4.2651E-03,-338.6153E-03
-880.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-870.0E-06,+160.8040E-03,+4.2651E-03,-311.8720E-03
-860.0E-06,+131.9435E-03,+245.0E-06,-311.8720E-03
-850.0E-06,+152.6898E-03,+4.2651E-03,-311.8720E-03
-840.0E-06,+93.0341E-03,+7.6536E-03,-311.8720E-03
